course_title,skills,rating,num_reviews,level,content_duration,is_paid,clean_course_title
Google Cybersecurity,"{"" Network Security"","" Python Programming"","" Linux"","" Cloud Computing"","" Algorithms"","" Audit"","" Computer Programming"","" Computer Security Incident Management"","" Cryptography"","" Databases"","" Leadership and Management"","" Network Architecture"","" Risk Management"","" SQL""}",4.8,16400.0,0,135,0.0,Google Cybersecurity
Google Data Analytics,"{"" Data Analysis"","" R Programming"","" SQL"","" Business Communication"","" Spreadsheet Software"","" Business Analysis"","" Data Visualization"","" Data Management"","" General Statistics"","" Big Data"","" Communication"","" Computer Programming"","" Data Science"","" Data Visualization Software"","" Databases"","" Exploratory Data Analysis"","" Extract"","" Transform"","" Load"","" Leadership and Management"","" Microsoft Excel"","" Problem Solving"","" Small Data"","" Statistical Programming"","" Tableau Software""}",4.8,133400.0,0,135,0.0,Google Data Analytics
Google Project Management:,"{"" Project Management"","" Strategy and Operations"","" Leadership and Management"","" Communication"","" Business Communication"","" Collaboration"","" Agile Software Development"","" Software Engineering"","" Entrepreneurship"","" Scrum (Software Development)"","" Planning"","" Supply Chain and Logistics"","" Change Management"","" Finance"","" Organizational Development"","" Product Management"","" Risk Management"","" Budget Management"","" Influencing"","" Culture"","" Emotional Intelligence"","" People Management"","" Problem Solving"","" Procurement""}",4.8,97300.0,0,135,0.0,Google Project Management
Google Digital Marketing & E-commerce,"{"" Digital Marketing"","" Marketing"","" Marketing Management"","" Media Strategy & Planning"","" Sales"","" E-Commerce"","" Data Analysis"","" Social Media"","" Search Engine Optimization"","" Advertising"","" Communication"","" Persona Research"","" Strategy"","" Web Design"","" Web Development"","" Web Development Tools"","" Writing"","" Data Management"","" Market Analysis""}",4.8,21400.0,0,135,0.0,Google Digital Marketing  Ecommerce
Google IT Support,"{"" Computer Networking"","" Network Architecture"","" Network Model"","" Networking Hardware"","" Network Analysis"","" Computer Architecture"","" Critical Thinking"","" Problem Solving"","" Communication"","" Human Computer Interaction"","" Network Security"","" Linux"","" System Security"","" Cloud Computing"","" Computer Programming"","" Customer Support"","" Cryptography"","" Leadership and Management"","" Operating Systems""}",4.8,181400.0,0,135,0.0,Google Support
IBM Data Science,"{"" Python Programming"","" Data Science"","" Machine Learning"","" Data Analysis"","" Data Visualization"","" Algorithms"","" Human Learning"","" Statistical Programming"","" Decision Making"","" Machine Learning Algorithms"","" Statistical Machine Learning"","" Statistical Visualization"","" Computational Thinking"","" Computer Programming"","" Data Management"","" Data Mining"","" Database Design"","" Exploratory Data Analysis"","" Plot (Graphics)"","" Applied Machine Learning"","" Customer Analysis"","" R Programming"","" Data Model"","" Database Application"","" Database Theory"","" Databases"","" Deep Learning"","" SQL"","" General Statistics"","" Probability & Statistics"","" Regression"","" Reinforcement Learning"","" Big Data"","" Cloud Computing"","" IBM Cloud"","" Writing""}",4.6,118900.0,0,135,0.0,IBM Data Science
Google UX Design,"{"" User Experience"","" User Experience Design"","" User Research"","" Audit"","" Collaboration"","" Human Computer Interaction"","" Planning"","" Product Design"","" Product Development"","" Social Media"","" Web Design"","" Web Development Tools""}",4.8,73700.0,0,135,0.0,Google UX Design
IBM Data Analyst,"{"" Python Programming"","" Data Visualization"","" Microsoft Excel"","" Spreadsheet Software"","" Data Analysis"","" Statistical Visualization"","" Plot (Graphics)"","" Statistical Programming"","" Databases"","" SQL"","" Data Management"","" Exploratory Data Analysis"","" Machine Learning"","" Business Analysis"","" Computational Thinking"","" Computer Programming"","" Database Application"","" Database Design"","" Database Theory"","" Data Mining"","" Data Science"","" General Statistics"","" NoSQL"","" R Programming"","" Cloud Computing"","" Data Visualization Software"","" IBM Cloud"","" Interactive Data Visualization"","" Machine Learning Algorithms"","" Probability & Statistics"","" Regression""}",4.6,71500.0,0,135,0.0,IBM Data Analyst
Machine Learning,"{"" Machine Learning"","" Machine Learning Algorithms"","" Applied Machine Learning"","" Algorithms"","" Deep Learning"","" Machine Learning Software"","" Artificial Neural Networks"","" Human Learning"","" Statistical Machine Learning"","" Python Programming"","" Regression"","" Mathematics"","" Tensorflow"","" Critical Thinking"","" Network Model"","" Reinforcement Learning""}",4.9,17700.0,0,60,0.0,Machine Learning
Introduction to Data Science,"{"" Data Science"","" Python Programming"","" Data Analysis"","" Data Management"","" R Programming"","" Computational Thinking"","" Computer Programming"","" Data Mining"","" Database Application"","" Database Design"","" Database Theory"","" Databases"","" SQL"","" Data Model"","" Machine Learning"","" Statistical Machine Learning"","" Big Data"","" Cloud Computing"","" Deep Learning"","" IBM Cloud"","" Regression"","" Writing""}",4.6,85000.0,0,135,0.0,Introduction Data Science
Generative AI for Everyone,"{"" Strategy"","" Writing""}",4.9,188.0,0,14,0.0,Generative AI
IBM DevOps and Software Engineering,"{"" DevOps"","" Software Engineering"","" Cloud Computing"","" Computer Programming"","" Application Development"","" Python Programming"","" Software Architecture"","" Cloud Applications"","" Continuous Delivery"","" Continuous Integration"","" Software Engineering Tools"","" Agile Software Development"","" Programming Principles"","" Security Engineering"","" Software Testing"","" Cloud Infrastructure"","" Kubernetes"","" Cloud-Based Integration"","" Microarchitecture"","" Cloud Platforms"","" Communication"","" IBM Cloud"","" Scrum (Software Development)"","" Software Security"","" Cloud Storage"","" Docker (Software)"","" Linux"","" Product Management"","" Software-Defined Networking"","" Collaboration"","" Leadership and Management"","" Data Analysis"","" Mergers & Acquisitions""}",4.6,43200.0,0,135,0.0,IBM DevOps Software Engineering
IBM Full Stack Software Developer,"{"" Cloud Computing"","" Python Programming"","" Cloud Applications"","" Computer Programming"","" IBM Cloud"","" Application Development"","" Cloud Infrastructure"","" DevOps"","" Web Development"","" Cloud Management"","" Cloud Platforms"","" Javascript"","" Software Architecture"","" Cloud API"","" Cloud Storage"","" Cloud-Based Integration"","" Full-Stack Web Development"","" Software Engineering"","" Continuous Delivery"","" Continuous Integration"","" Docker (Software)"","" Software As A Service"","" Web Development Tools"","" Microarchitecture"","" Django (Web Framework)"","" Database Application"","" Databases"","" Kubernetes"","" SQL"","" Software Engineering Tools"","" Data Management"","" NoSQL"","" Collaboration"","" Computer Science"","" Data Analysis"","" Leadership and Management"","" Mergers & Acquisitions"","" React (web framework)""}",4.6,41200.0,0,135,0.0,IBM Stack Software Developer
Key Technologies for Business,"{"" Algorithms"","" Applied Machine Learning"","" Artificial Neural Networks"","" Computer Vision"","" Deep Learning"","" Human Learning"","" Machine Learning"","" Machine Learning Algorithms"","" Machine Learning Software"","" Cloud Computing"","" Data Science"","" Data Analysis"","" Big Data"","" Data Mining"","" Cloud Applications"","" Cloud Infrastructure"","" Cloud Platforms"","" Cloud Storage"","" DevOps"","" IBM Cloud"","" Regression"","" Writing""}",4.7,81500.0,0,60,0.0,Key Technologies Business
Data Science Fundamentals with Python and SQL,"{"" Python Programming"","" Data Analysis"","" General Statistics"","" Probability & Statistics"","" Basic Descriptive Statistics"","" Statistical Analysis"","" Statistical Tests"","" Mathematical Theory & Analysis"","" Statistical Programming"","" Computer Programming"","" Data Science"","" Plot (Graphics)"","" R Programming"","" Computational Thinking"","" Data Management"","" Database Application"","" Database Design"","" Database Theory"","" Databases"","" SQL"","" Cloud Computing"","" IBM Cloud""}",4.6,59200.0,0,135,0.0,Data Science Fundamentals Python SQL
